file  A%  D%  D-A  blade  burnDps  cap  stars  dur  feedBurn
ring_price_b8.3.json  17.2  71.4  54.2  8.3  3.0  4  10  6.0  None
ring_price_b9.5.json  34.9  81.8  46.9  9.5  3.0  4  10  6.0  None
ring_price_default.json  69.8  91.7  21.9  None  3.0  4  10  6.0  None
ruled_b70_dps025.json  7.8  41.1  33.3  7.0  0.25  99  10  6.0  0.55
ruled_b83_dps01.json  17.2  34.9  17.7  8.3  0.1  99  10  6.0  0.55
ruled_b83_dps015.json  17.2  37.5  20.3  8.3  0.15  99  10  6.0  0.55
ruled_b83_dps02.json  17.2  52.1  34.9  8.3  0.2  99  10  6.0  0.55
ruled_b83_dps025.json  17.2  58.3  41.1  8.3  0.25  99  10  6.0  0.55
ruled_b83_dps03.json  17.2  68.2  51.0  8.3  0.3  99  10  6.0  0.55
ruled_b83_dps035.json  17.2  71.4  54.2  8.3  0.35  99  10  6.0  0.55
ruled_b95_dps02.json  34.9  63.0  28.1  9.5  0.2  99  10  6.0  0.55
ruled_charge12.json  17.2  60.4  43.2  8.3  0.2  99  10  6.0  0.55
ruled_dur8.json  17.2  63.0  45.8  8.3  0.2  99  10  8.0  0.55
ruled_ring100.json  17.2  42.2  25.0  8.3  0.2  99  10  6.0  0.55
ruled_ring150.json  17.2  55.2  38.0  8.3  0.2  99  10  6.0  0.55
ruled_stars16.json  17.2  61.5  44.3  8.3  0.2  99  16  6.0  0.55
ruled_stars6.json  17.2  40.6  23.4  8.3  0.2  99  6  6.0  0.55
settled_4arm_10seeds.json  17.2  49.1  31.9  8.3  0.1  99  16  8.0  0.55
settled_dps010.json  17.2  49.0  31.8  8.3  0.1  99  16  8.0  0.55
settled_dps013.json  17.2  60.4  43.2  8.3  0.13  99  16  8.0  0.55
settled_dps016.json  17.2  60.4  43.2  8.3  0.16  99  16  8.0  0.55
var_blast130.json  17.2  69.8  52.6  8.3  3.0  4  10  6.0  None
var_cap1.json  17.2  34.9  17.7  8.3  3.0  1  10  6.0  None
var_cap4_feedburn.json  17.2  91.1  74.0  8.3  3.0  4  10  6.0  0.55
var_cap8.json  17.2  90.1  72.9  8.3  3.0  8  10  6.0  None
var_feed055.json  17.2  71.9  54.7  8.3  3.0  4  10  6.0  None
var_knock0.json  17.2  66.1  49.0  8.3  3.0  4  10  6.0  None
var_knock600.json  17.2  71.9  54.7  8.3  3.0  4  10  6.0  None
var_ring150.json  17.2  76.0  58.9  8.3  3.0  4  10  6.0  None
var_stars16.json  17.2  70.8  53.6  8.3  3.0  4  16  6.0  None
var_tick3.json  17.2  71.9  54.7  8.3  3.0  4  10  6.0  None
var_uncap_dps03_feed.json  17.2  52.6  35.4  8.3  0.3  99  10  6.0  0.55
var_uncap_dps05.json  17.2  53.1  35.9  8.3  0.5  99  10  6.0  0.0
var_uncap_dps05_feed.json  17.2  73.4  56.2  8.3  0.5  99  10  6.0  0.55
var_uncap_dps05_ts.json  17.2  60.9  43.8  8.3  0.5  99  10  6.0  0.0
var_uncap_dps07.json  17.2  64.6  47.4  8.3  0.7  99  10  6.0  0.0
var_uncap_dps07_dur2.json  17.2  53.1  35.9  8.3  0.7  99  10  6.0  0.0
var_uncap_dps07_tickstacks.json  17.2  70.8  53.6  8.3  0.7  99  10  6.0  0.0
var_uncap_dps1.json  17.2  71.4  54.2  8.3  1.0  99  10  6.0  0.0
var_uncap_dps1_feedburn.json  17.2  93.2  76.0  8.3  1.0  99  10  6.0  0.55
